Saiu_da_Empresa;Idade;Frequência de Viagens;Distância_do_trabalho;Formação;E-Sat;Gênero;Estado_Civil;Salário;Qte_Empresas_Trabalhadas;Faz_hora_extras?;Perc_de_aumento;Qte_ações_da_empresa;Tempo_de_carreira;Horas_de_treinamento;Equilibrio_de_Vida;Tempo_de_empresa;Anos_no_mesmo_cargo;Anos_desde_a_ultima_promocao;Anos_com_o_mesmo_chefe
Não;53;Viaja raramente;2;Mestrado;Baixo;M;Casado;15427;2;Não;16;0;31;3;Muito bom;25;8;3;7
Não;38;Viaja raramente;2;Ensino Superior;Muito Alto;H;Solteiro;3944;5;Sim;11;0;6;3;Muito bom;3;2;1;2
Não;24;Não viaja;11;Ensino Técnico;Baixo;M;Divorciado;4011;0;Não;18;1;5;5;Bom;4;2;1;3
Sim;36;Viaja raramente;9;Mestrado;Alto;H;Solteiro;3407;7;Não;23;0;10;4;Muito bom;5;3;0;3
Não;34;Viaja raramente;7;Mestrado;Baixo;M;Solteiro;11994;0;Não;11;0;13;4;Muito bom;12;6;2;11
Não;21;Viaja raramente;15;Ensino Técnico;Alto;H;Solteiro;1232;1;Não;14;0;0;6;Muito bom;0;0;0;0
Sim;34;Viaja raramente;6;Ensino Médio;Médio;H;Solteiro;2960;2;Não;11;0;8;2;Muito bom;4;2;1;3
Não;53;Viaja raramente;5;Ensino Superior;Alto;M;Divorciado;19094;4;Não;11;1;26;3;Bom;14;13;4;8
Sim;32;Viaja frequentemente;16;Ensino Médio;Médio;M;Solteiro;3919;1;Sim;22;0;10;5;Muito bom;10;2;6;7
Não;42;Viaja raramente;8;Mestrado;Alto;H;Casado;6825;0;Não;11;1;10;2;Muito bom;9;7;4;2
Não;44;Viaja raramente;7;Mestrado;Baixo;M;Casado;10248;3;Não;14;1;24;4;Muito bom;22;6;5;17
Não;46;Viaja raramente;2;Mestrado;Médio;M;Solteiro;18947;3;Não;12;0;22;2;Bom;2;2;2;1
Não;33;Viaja raramente;2;Ensino Superior;Alto;H;Solteiro;2496;4;Não;11;0;7;3;Muito bom;1;1;0;0
Não;44;Viaja raramente;10;Mestrado;Muito Alto;H;Casado;6465;2;Sim;13;0;9;5;Excelente;4;2;1;3
Não;30;Viaja raramente;9;Ensino Técnico;Muito Alto;H;Solteiro;2206;1;Não;13;0;10;5;Muito bom;10;0;1;8
Sim;39;Viaja raramente;5;Ensino Superior;Muito Alto;H;Casado;2086;3;Não;14;1;19;6;Excelente;1;0;0;0
Sim;24;Viaja raramente;1;Ensino Superior;Médio;H;Casado;2293;2;Sim;16;1;6;2;Bom;2;0;2;0
Não;43;Viaja raramente;2;Ensino Técnico;Muito Alto;M;Divorciado;2645;1;Não;12;2;6;3;Bom;5;3;1;4
Sim;50;Viaja raramente;3;Ensino Técnico;Baixo;H;Casado;2683;1;Sim;14;0;3;2;Muito bom;3;2;0;2
Não;35;Viaja raramente;2;Ensino Superior;Muito Alto;M;Casado;2014;1;Não;13;0;2;3;Muito bom;2;2;2;2
Não;36;Viaja raramente;5;Mestrado;Médio;M;Casado;3419;9;Sim;14;1;6;3;Excelente;1;1;0;0
Não;33;Viaja frequentemente;1;Ensino Superior;Alto;M;Casado;5376;2;Não;19;2;10;3;Muito bom;5;3;1;3
Não;35;Viaja raramente;4;Ensino Técnico;Alto;H;Divorciado;1951;1;Não;12;1;1;3;Muito bom;1;0;0;0
Não;27;Viaja raramente;2;Mestrado;Muito Alto;M;Divorciado;2341;1;Não;13;1;1;6;Muito bom;1;0;0;0
Sim;26;Viaja raramente;25;Ensino Superior;Baixo;H;Solteiro;2293;1;Não;12;0;1;2;Bom;1;0;0;1
Não;27;Viaja frequentemente;8;Ensino Superior;Muito Alto;H;Solteiro;8726;1;Não;15;0;9;0;Muito bom;9;8;1;7
Não;30;Viaja frequentemente;1;Ensino Técnico;Alto;M;Solteiro;4011;1;Não;23;0;12;2;Muito bom;12;8;3;7
Sim;41;Viaja raramente;12;Ensino Superior;Médio;M;Casado;19545;1;Não;12;0;23;0;Muito bom;22;15;15;8
Não;34;Não viaja;23;Mestrado;Médio;H;Solteiro;4568;0;Não;20;0;10;2;Muito bom;9;5;8;7
Não;37;Viaja raramente;19;Ensino Técnico;Médio;H;Casado;3022;4;Não;21;0;8;1;Muito bom;1;0;0;0
Não;46;Viaja frequentemente;5;Mestrado;Baixo;H;Solteiro;5772;4;Sim;21;0;14;4;Muito bom;9;6;0;8
Não;35;Viaja raramente;8;Ensino Médio;Muito Alto;H;Casado;2269;1;Não;19;0;1;2;Muito bom;1;0;0;1
Sim;48;Viaja raramente;1;Ensino Técnico;Baixo;H;Solteiro;5381;9;Sim;13;0;23;2;Muito bom;1;0;0;0
Sim;28;Viaja raramente;5;Mestrado;Alto;H;Solteiro;3441;1;Sim;13;0;2;3;Bom;2;2;2;2
Não;44;Viaja raramente;1;Doutorado;Médio;M;Divorciado;5454;5;Sim;21;1;9;2;Bom;4;3;1;3
Não;35;Não viaja;11;Ensino Técnico;Alto;H;Casado;9884;2;Sim;13;1;10;3;Muito bom;4;0;2;3
Não;26;Viaja raramente;23;Ensino Superior;Alto;M;Casado;4157;7;Sim;19;1;5;2;Bom;2;2;0;0
Não;33;Viaja frequentemente;1;Ensino Técnico;Baixo;M;Solteiro;13458;1;Sim;12;0;15;1;Muito bom;15;14;8;12
Não;35;Viaja frequentemente;18;Doutorado;Médio;H;Casado;9069;1;Não;22;1;9;3;Bom;9;8;1;8
Não;35;Viaja raramente;23;Mestrado;Alto;M;Casado;4014;3;Sim;15;1;4;3;Muito bom;2;2;2;2
Não;31;Viaja raramente;7;Mestrado;Muito Alto;H;Divorciado;5915;3;Não;22;1;10;3;Bom;7;7;1;7
Não;37;Viaja raramente;1;Mestrado;Baixo;H;Divorciado;5993;1;Não;18;1;7;2;Excelente;7;5;0;7
Não;32;Viaja raramente;1;Ensino Superior;Baixo;H;Casado;6162;1;Sim;22;1;9;3;Muito bom;9;8;7;8
Não;38;Viaja frequentemente;29;Doutorado;Muito Alto;M;Solteiro;2406;1;Não;11;0;10;2;Muito bom;10;3;9;9
Não;50;Viaja raramente;7;Ensino Técnico;Médio;M;Divorciado;18740;5;Sim;12;1;29;2;Bom;27;3;13;8
Não;59;Viaja raramente;25;Ensino Superior;Baixo;M;Solteiro;7637;7;Não;11;0;28;3;Bom;21;16;7;9
Não;36;Viaja raramente;8;Ensino Superior;Alto;M;Divorciado;10096;1;Não;13;3;17;2;Muito bom;17;14;12;8
Não;55;Viaja raramente;8;Ensino Superior;Muito Alto;M;Divorciado;14756;2;Sim;14;3;21;2;Muito bom;5;0;0;2
Não;36;Viaja frequentemente;11;Ensino Superior;Médio;H;Solteiro;6499;1;Não;13;0;6;3;Muito bom;6;5;0;3
Não;45;Viaja raramente;7;Ensino Superior;Médio;H;Divorciado;9724;2;Não;17;1;25;2;Muito bom;1;0;0;0
Não;35;Viaja frequentemente;1;Ensino Superior;Médio;H;Casado;2194;4;Não;13;1;5;2;Bom;3;2;1;2
Sim;36;Viaja raramente;9;Ensino Superior;Muito Alto;H;Casado;3388;0;Sim;17;1;2;0;Bom;1;0;0;0
Não;59;Viaja frequentemente;1;Ensino Médio;Baixo;M;Solteiro;5473;7;Não;11;0;20;2;Bom;4;3;1;3
Não;29;Viaja raramente;2;Ensino Superior;Alto;H;Casado;2703;0;Não;23;1;6;3;Muito bom;5;4;0;4
Não;31;Viaja raramente;1;Mestrado;Alto;H;Solteiro;2501;1;Não;17;0;1;4;Muito bom;1;1;1;0
Não;32;Viaja raramente;1;Ensino Superior;Médio;H;Casado;6220;1;Não;17;2;10;3;Muito bom;10;4;0;9
Não;36;Viaja raramente;6;Ensino Superior;Médio;M;Casado;3038;3;Não;12;0;5;3;Muito bom;1;0;0;0
Não;31;Viaja raramente;8;Mestrado;Alto;M;Solteiro;4424;1;Não;23;0;11;2;Muito bom;11;7;1;8
Não;35;Viaja raramente;1;Mestrado;Alto;H;Solteiro;4312;0;Não;14;0;16;2;Muito bom;15;13;2;8
Não;45;Viaja raramente;6;Mestrado;Muito Alto;H;Casado;13245;4;Sim;14;0;17;3;Excelente;0;0;0;0
Não;37;Viaja raramente;7;Mestrado;Baixo;H;Solteiro;13664;4;Não;13;0;16;3;Excelente;5;2;0;2
Não;46;Viaja raramente;5;Ensino Técnico;Médio;H;Divorciado;5021;8;Sim;22;1;16;2;Muito bom;4;2;0;2
Não;30;Viaja raramente;1;Ensino Médio;Muito Alto;H;Casado;5126;1;Sim;12;2;10;1;Bom;10;8;3;0
Não;35;Viaja raramente;1;Ensino Superior;Médio;H;Solteiro;2859;1;Não;18;0;6;3;Muito bom;6;4;0;4
Não;55;Viaja raramente;1;Ensino Técnico;Baixo;H;Casado;10239;3;Não;14;1;24;4;Muito bom;1;0;1;0
Não;38;Não viaja;6;Ensino Superior;Médio;M;Divorciado;5329;7;Sim;12;3;17;3;Muito bom;13;11;1;9
Não;34;Viaja raramente;1;Ensino Técnico;Baixo;H;Casado;4325;1;Não;15;0;5;2;Muito bom;5;2;1;3
Não;56;Viaja raramente;7;Ensino Superior;Muito Alto;H;Solteiro;7260;4;Não;11;0;37;3;Bom;6;4;0;2
Não;23;Viaja raramente;2;Ensino Médio;Alto;H;Divorciado;2322;3;Não;13;1;3;3;Muito bom;0;0;0;0
Não;51;Viaja raramente;9;Mestrado;Muito Alto;H;Casado;2075;3;Não;23;2;10;4;Muito bom;4;2;0;3
Não;30;Viaja raramente;2;Ensino Superior;Alto;H;Casado;4152;1;Não;19;3;11;3;Muito bom;11;10;10;8
Sim;46;Viaja raramente;9;Ensino Técnico;Alto;H;Solteiro;9619;1;Não;16;0;9;3;Muito bom;9;8;4;7
Não;40;Viaja frequentemente;1;Mestrado;Alto;H;Casado;13503;1;Não;22;1;22;3;Bom;22;3;11;11
Não;51;Viaja raramente;21;Mestrado;Alto;H;Solteiro;5441;0;Sim;22;0;11;2;Ruim;10;7;1;0
Não;30;Viaja raramente;4;Ensino Técnico;Alto;M;Divorciado;5209;1;Sim;12;3;11;4;Bom;11;8;2;7
Não;46;Viaja frequentemente;1;Ensino Superior;Alto;H;Casado;10673;2;Sim;13;1;21;5;Bom;10;9;9;5
Não;32;Viaja raramente;6;Mestrado;Médio;H;Solteiro;5010;1;Não;16;0;12;0;Muito bom;11;8;5;7
Não;54;Viaja raramente;2;Mestrado;Baixo;M;Casado;13549;9;Não;12;1;16;5;Ruim;4;3;0;3
Não;24;Viaja raramente;3;Ensino Técnico;Baixo;M;Casado;4999;0;Não;21;1;4;2;Bom;3;2;0;2
Não;28;Não viaja;4;Ensino Superior;Médio;H;Casado;4221;1;Não;15;0;5;3;Excelente;5;4;0;4
Não;58;Viaja raramente;10;Mestrado;Muito Alto;H;Solteiro;13872;0;Não;13;0;38;1;Bom;37;10;1;8
Não;44;Não viaja;23;Ensino Superior;Médio;H;Casado;2042;4;Não;12;1;17;3;Excelente;3;2;1;2
Sim;37;Viaja raramente;6;Mestrado;Alto;H;Divorciado;2073;4;Sim;22;0;7;3;Muito bom;3;2;0;2
Não;32;Viaja raramente;1;Ensino Médio;Muito Alto;H;Solteiro;2956;1;Não;13;0;1;2;Muito bom;1;0;0;0
Sim;20;Viaja frequentemente;6;Ensino Superior;Muito Alto;M;Solteiro;2926;1;Sim;18;0;1;5;Muito bom;1;0;1;0
Não;34;Viaja raramente;6;Mestrado;Baixo;M;Solteiro;4809;1;Não;14;0;16;3;Muito bom;16;13;2;10
Não;37;Não viaja;2;Ensino Técnico;Alto;H;Divorciado;5163;5;Não;14;1;17;2;Excelente;1;0;0;0
Não;59;Não viaja;2;Mestrado;Alto;M;Casado;18844;9;Não;21;1;30;3;Muito bom;3;2;2;2
Não;50;Viaja frequentemente;1;Ensino Superior;Baixo;M;Casado;18172;3;Sim;19;0;28;1;Bom;8;3;0;7
Sim;25;Viaja raramente;5;Ensino Superior;Alto;H;Solteiro;5744;1;Sim;11;0;6;1;Muito bom;6;4;0;3
Não;25;Viaja raramente;7;Ensino Médio;Muito Alto;H;Casado;2889;1;Não;11;2;2;2;Muito bom;2;2;2;1
Não;22;Viaja raramente;15;Ensino Superior;Médio;M;Solteiro;2871;1;Não;15;0;1;5;Muito bom;0;0;0;0
Não;51;Viaja frequentemente;1;Mestrado;Baixo;M;Solteiro;7484;3;Não;20;0;23;1;Bom;13;12;12;8
Sim;34;Viaja frequentemente;7;Ensino Superior;Baixo;H;Solteiro;6074;1;Sim;24;0;9;3;Muito bom;9;7;0;6
Não;54;Não viaja;26;Ensino Superior;Muito Alto;M;Solteiro;17328;2;Sim;12;0;23;3;Muito bom;5;3;4;4
Não;24;Viaja raramente;18;Ensino Médio;Médio;H;Casado;2774;0;Não;12;1;6;2;Muito bom;5;3;1;2
Não;34;Viaja raramente;6;Mestrado;Alto;M;Divorciado;4505;6;Não;15;1;12;3;Muito bom;1;0;0;0
Não;37;Viaja raramente;3;Ensino Superior;Alto;H;Solteiro;7428;2;Não;12;0;12;3;Muito bom;5;3;1;3
Não;34;Viaja raramente;5;Ensino Superior;Alto;M;Solteiro;11631;2;Não;12;0;14;6;Muito bom;11;10;5;8
Não;36;Viaja frequentemente;11;Ensino Técnico;Médio;M;Casado;9738;0;Não;14;1;10;6;Muito bom;9;7;2;8
Não;36;Viaja raramente;3;Ensino Técnico;Baixo;M;Divorciado;2835;5;Não;22;1;7;2;Muito bom;1;0;0;0
Não;43;Viaja frequentemente;26;Ensino Técnico;Alto;H;Casado;16959;1;Sim;12;2;25;3;Excelente;25;12;4;12
Não;30;Viaja frequentemente;23;Ensino Superior;Baixo;H;Divorciado;2613;1;Não;25;3;10;2;Bom;10;7;0;9
Não;33;Não viaja;22;Ensino Técnico;Alto;H;Casado;6146;0;Não;13;1;8;2;Excelente;7;7;0;7
Sim;56;Viaja raramente;14;Mestrado;Médio;M;Casado;4963;9;Sim;18;3;7;2;Muito bom;5;4;4;3
Não;51;Viaja raramente;6;Ensino Superior;Baixo;H;Solteiro;19537;7;Não;13;0;23;5;Muito bom;20;18;15;15
Sim;31;Viaja raramente;6;Mestrado;Médio;H;Casado;6172;4;Sim;18;0;12;3;Bom;7;7;7;7
Não;26;Viaja raramente;6;Ensino Superior;Alto;M;Casado;2368;1;Não;19;0;5;3;Bom;5;4;4;3
Sim;58;Viaja raramente;23;Mestrado;Muito Alto;M;Casado;10312;1;Não;12;1;40;3;Bom;40;10;15;6
Sim;19;Viaja raramente;22;Ensino Médio;Muito Alto;H;Solteiro;1675;1;Sim;19;0;0;2;Bom;0;0;0;0
Não;22;Viaja raramente;2;Ensino Médio;Alto;H;Casado;2523;0;Não;14;1;3;2;Muito bom;2;1;2;1
Não;49;Viaja raramente;20;Mestrado;Alto;M;Casado;6567;1;Não;14;0;16;2;Bom;15;11;5;11
Não;43;Viaja frequentemente;28;Ensino Superior;Médio;M;Solteiro;4739;4;Não;12;0;18;2;Muito bom;3;2;1;2
Não;50;Viaja frequentemente;12;Ensino Superior;Alto;M;Solteiro;9208;4;Não;11;0;16;3;Muito bom;2;2;2;1
Sim;31;Viaja raramente;20;Ensino Superior;Médio;M;Casado;4559;3;Sim;11;1;4;2;Muito bom;2;2;2;2
Não;41;Viaja raramente;9;Ensino Médio;Alto;H;Divorciado;8189;3;Sim;13;1;12;2;Muito bom;9;7;0;7
Não;26;Viaja raramente;25;Ensino Médio;Alto;M;Casado;2942;1;Não;23;1;8;3;Muito bom;8;7;5;7
Não;36;Viaja raramente;6;Ensino Técnico;Médio;H;Divorciado;4941;6;Não;20;2;7;0;Muito bom;3;2;0;1
Sim;51;Viaja frequentemente;8;Mestrado;Baixo;H;Solteiro;10650;2;Não;15;0;18;2;Muito bom;4;2;0;3
Não;39;Viaja raramente;4;Mestrado;Muito Alto;M;Casado;5902;4;Não;14;1;17;1;Excelente;15;11;5;9
Não;25;Viaja raramente;28;Ensino Superior;Baixo;H;Casado;8639;2;Não;18;0;6;3;Muito bom;2;2;2;2
Não;30;Viaja raramente;9;Ensino Superior;Alto;H;Casado;6347;0;Sim;19;0;12;2;Ruim;11;9;4;7
Sim;32;Viaja raramente;9;Ensino Superior;Baixo;M;Solteiro;4200;7;Não;22;0;10;2;Excelente;5;4;0;4
Não;45;Viaja raramente;29;Ensino Superior;Alto;H;Solteiro;3452;5;Não;13;0;9;2;Bom;6;5;0;3
Não;38;Viaja raramente;3;Doutorado;Muito Alto;M;Solteiro;4317;3;Sim;20;0;19;2;Muito bom;3;2;2;2
Não;30;Viaja raramente;18;Ensino Superior;Baixo;M;Solteiro;2632;1;Não;14;0;5;4;Bom;5;4;0;4
Não;32;Viaja frequentemente;9;Ensino Técnico;Muito Alto;H;Divorciado;4668;0;Não;17;3;9;2;Excelente;8;7;0;7
Não;30;Viaja raramente;5;Ensino Superior;Muito Alto;M;Divorciado;3204;5;Não;14;1;8;3;Muito bom;3;2;2;2
Não;30;Viaja raramente;2;Ensino Médio;Médio;H;Solteiro;2720;0;Não;13;0;6;3;Muito bom;5;3;1;2
Não;41;Viaja frequentemente;10;Ensino Superior;Muito Alto;H;Divorciado;17181;4;Não;13;1;21;2;Bom;7;6;7;7
Não;41;Viaja raramente;9;Mestrado;Alto;H;Casado;2238;2;Não;21;1;7;2;Muito bom;5;0;1;4
Não;19;Viaja raramente;3;Ensino Médio;Médio;M;Solteiro;1483;1;Não;14;0;1;3;Muito bom;1;0;0;0
Não;40;Viaja frequentemente;26;Ensino Superior;Médio;M;Divorciado;5605;1;Não;11;1;20;2;Muito bom;20;7;2;13
Não;35;Viaja raramente;1;Doutorado;Alto;H;Casado;7295;1;Não;13;2;10;3;Muito bom;10;8;0;6
Não;53;Viaja raramente;6;Ensino Técnico;Médio;H;Casado;2306;2;Sim;20;1;13;3;Ruim;7;7;4;5
Não;45;Viaja raramente;9;Ensino Superior;Médio;H;Divorciado;2348;8;Não;18;1;20;2;Ruim;17;9;0;15
Não;32;Viaja frequentemente;8;Ensino Superior;Médio;M;Solteiro;8998;1;Não;14;0;9;2;Muito bom;9;8;3;7
Não;29;Não viaja;1;Ensino Médio;Muito Alto;H;Casado;4319;1;Não;13;1;10;1;Muito bom;10;7;0;9
Não;51;Viaja raramente;7;Mestrado;Médio;H;Casado;6132;2;Não;17;0;10;2;Muito bom;1;0;0;0
Não;58;Viaja raramente;9;Ensino Superior;Médio;M;Casado;3346;4;Sim;20;1;9;3;Bom;1;0;0;0
Não;40;Viaja raramente;4;Mestrado;Alto;H;Casado;10855;7;Não;11;1;15;2;Bom;12;11;2;11
Não;34;Viaja frequentemente;2;Mestrado;Alto;M;Casado;2231;6;Não;18;1;6;3;Muito bom;4;3;1;2
Não;22;Viaja raramente;19;Ensino Médio;Alto;H;Casado;2323;1;Não;24;2;2;6;Muito bom;2;2;2;2
Não;27;Não viaja;9;Ensino Superior;Muito Alto;H;Divorciado;2024;6;Não;18;1;6;1;Ruim;2;2;2;2
Não;28;Viaja raramente;21;Ensino Superior;Alto;H;Casado;2713;1;Não;11;1;5;2;Ruim;5;2;0;2
Não;57;Viaja raramente;24;Ensino Técnico;Alto;H;Divorciado;9439;3;Sim;16;1;12;2;Ruim;5;3;1;4
Não;27;Não viaja;3;Ensino Superior;Alto;H;Divorciado;2566;1;Sim;15;1;1;2;Bom;1;1;0;1
Não;50;Viaja raramente;11;Ensino Superior;Alto;M;Solteiro;19926;3;Não;15;0;21;5;Muito bom;5;4;4;4
Não;41;Viaja raramente;14;Ensino Superior;Baixo;H;Divorciado;2451;4;Não;12;1;13;2;Muito bom;9;8;1;8
Não;30;Viaja raramente;5;Ensino Superior;Médio;M;Casado;9419;2;Não;12;1;12;2;Muito bom;10;9;7;4
Não;38;Viaja raramente;1;Mestrado;Baixo;M;Solteiro;8686;4;Não;22;0;12;2;Excelente;8;3;0;7
Não;32;Viaja raramente;6;Doutorado;Alto;H;Solteiro;3038;3;Não;20;0;8;2;Muito bom;5;4;1;4
Não;27;Viaja raramente;17;Ensino Superior;Alto;H;Casado;3058;0;Sim;16;1;6;3;Bom;5;2;1;1
Sim;19;Viaja frequentemente;1;Ensino Médio;Alto;M;Solteiro;2325;0;Não;21;0;1;5;Excelente;0;0;0;0
Não;36;Viaja frequentemente;3;Ensino Técnico;Muito Alto;H;Solteiro;2088;4;Não;12;0;13;3;Bom;8;7;7;2
Não;30;Não viaja;9;Ensino Superior;Alto;H;Divorciado;3072;1;Não;11;2;12;4;Muito bom;12;9;6;10
Não;45;Viaja raramente;4;Ensino Técnico;Alto;M;Divorciado;5006;4;Sim;11;1;9;3;Excelente;5;4;0;3
Não;56;Viaja raramente;8;Ensino Superior;Alto;M;Divorciado;4257;4;Sim;18;1;19;3;Muito bom;2;2;2;2
Não;33;Viaja raramente;2;Ensino Superior;Alto;H;Solteiro;2500;0;Não;14;0;4;2;Excelente;3;1;0;2
Sim;19;Viaja raramente;2;Ensino Superior;Médio;H;Solteiro;1102;1;Não;22;0;1;3;Bom;1;0;1;0
Não;46;Viaja raramente;1;Ensino Técnico;Médio;M;Divorciado;10453;1;Não;25;3;24;2;Muito bom;24;13;15;7
Não;38;Viaja raramente;9;Ensino Técnico;Alto;M;Solteiro;2288;1;Não;12;0;2;3;Muito bom;2;2;2;1
Não;31;Viaja raramente;12;Ensino Médio;Alto;M;Casado;3929;8;Sim;23;1;7;0;Muito bom;4;2;0;2
Não;34;Viaja raramente;27;Ensino Técnico;Muito Alto;M;Solteiro;2311;2;Não;15;0;9;3;Muito bom;3;2;1;2
Sim;41;Viaja raramente;20;Ensino Técnico;Médio;M;Solteiro;3140;1;Sim;22;0;4;5;Bom;4;3;0;2
Não;50;Viaja raramente;1;Ensino Superior;Alto;H;Casado;3690;2;Não;15;1;5;2;Bom;3;2;0;2
Não;53;Viaja raramente;13;Ensino Técnico;Muito Alto;M;Divorciado;4450;1;Não;11;2;5;3;Muito bom;4;2;1;3
Não;33;Viaja raramente;14;Ensino Superior;Muito Alto;M;Casado;2756;1;Não;13;1;8;5;Muito bom;8;7;1;6
Não;40;Viaja raramente;4;Ensino Médio;Muito Alto;M;Casado;19033;1;Não;14;1;21;2;Muito bom;20;8;9;9
Não;55;Viaja raramente;14;Mestrado;Alto;H;Solteiro;18722;8;Não;11;0;36;3;Muito bom;24;15;2;15
Não;34;Viaja frequentemente;2;Ensino Médio;Muito Alto;H;Casado;9547;1;Não;17;0;10;2;Bom;10;9;1;9
Não;51;Viaja raramente;3;Ensino Superior;Muito Alto;M;Solteiro;13734;3;Não;18;0;21;6;Muito bom;7;7;1;0
Não;52;Viaja raramente;1;Mestrado;Alto;H;Casado;19999;0;Não;14;1;34;5;Muito bom;33;18;11;9
Não;27;Viaja raramente;9;Ensino Superior;Muito Alto;M;Solteiro;2279;1;Não;16;0;7;2;Bom;7;7;0;3
Sim;35;Viaja raramente;23;Ensino Técnico;Médio;H;Casado;5916;3;Sim;13;0;8;1;Muito bom;1;0;0;1
Não;43;Não viaja;7;Ensino Superior;Muito Alto;H;Divorciado;2089;4;Não;14;3;7;3;Excelente;5;4;2;2
Não;45;Não viaja;2;Ensino Técnico;Baixo;H;Casado;16792;9;Não;23;1;22;1;Muito bom;20;8;11;8
Não;37;Viaja raramente;21;Ensino Superior;Médio;H;Casado;3564;1;Sim;12;1;8;3;Bom;8;7;1;7
Não;35;Viaja frequentemente;2;Ensino Superior;Médio;M;Solteiro;4425;5;Não;11;0;10;5;Muito bom;6;2;1;2
Não;42;Não viaja;21;Ensino Técnico;Alto;M;Divorciado;5265;2;Não;16;1;11;5;Muito bom;5;3;0;2
Não;38;Viaja raramente;2;Mestrado;Muito Alto;H;Casado;6553;9;Não;14;0;14;3;Muito bom;1;0;0;0
Não;38;Viaja raramente;29;Ensino Superior;Muito Alto;H;Casado;6261;3;Não;18;1;9;3;Ruim;7;7;1;7
Não;27;Viaja frequentemente;1;Ensino Médio;Alto;H;Casado;4298;5;Não;19;1;6;1;Muito bom;2;2;2;0
Não;49;Não viaja;18;Mestrado;Muito Alto;H;Divorciado;6804;1;Sim;15;2;7;0;Muito bom;7;7;1;7
Não;34;Viaja frequentemente;10;Mestrado;Muito Alto;H;Divorciado;3815;1;Sim;17;1;5;4;Excelente;5;3;2;0
Não;40;Viaja raramente;19;Ensino Técnico;Alto;H;Casado;2741;8;Sim;15;1;15;2;Excelente;7;2;3;7
Sim;38;Viaja raramente;29;Ensino Médio;Médio;H;Casado;6673;7;Sim;19;0;17;2;Muito bom;1;0;0;0
Sim;29;Viaja raramente;27;Ensino Superior;Médio;M;Casado;7639;1;Não;22;3;10;3;Bom;10;4;1;9
Não;22;Viaja raramente;5;Ensino Superior;Muito Alto;H;Divorciado;2328;1;Sim;16;1;4;2;Bom;4;2;2;2
Não;36;Viaja frequentemente;18;Ensino Médio;Médio;M;Solteiro;2153;1;Não;13;0;8;2;Muito bom;8;1;1;7
Não;40;Não viaja;9;Doutorado;Muito Alto;H;Casado;4876;9;Não;14;1;5;5;Ruim;3;2;0;2
